Code,Location,Sex,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
900,World,Female,2422197,2466289,2511447,2557038,2602208,2646336,2689176,2730869,2771657,2811953,2852071,2892076,2931885,2971498,3010890,3050060,3089025,3127873,3166763,3205897,3245422,3285385,3325764,3366542,3407678,3449120,3490862,3532865,3575007,3617129,3659101,3700865,3742390,3783603,3824434
900,World,Male,2448725,2494279,2541075,2588388,2635233,2680895,2725113,2768051,2809941,2851197,2892142,2932816,2973161,3013296,3053349,3093434,3133602,3173900,3214422,3255263,3296485,3338133,3380183,3422546,3465089,3507704,3550333,3592963,3635575,3678162,3720696,3763157,3805469,3847488,3889035
398,Kazakhstan,Female,8088,8179,8269,8349,8406,8432,8426,8390,8330,8253,8166,8069,7965,7866,7789,7746,7742,7776,7837,7910,7984,8055,8128,8205,8293,8397,8516,8648,8788,8928,9064,9194,9318,9437,9552
398,Kazakhstan,Male,7577,7674,7771,7857,7921,7952,7948,7913,7851,7769,7673,7563,7441,7324,7232,7177,7168,7200,7263,7340,7419,7496,7575,7657,7750,7856,7974,8103,8238,8374,8508,8637,8762,8883,9000
417,Kyrgyzstan,Female,2047,2087,2127,2166,2200,2228,2249,2264,2276,2292,2314,2344,2382,2422,2459,2488,2508,2520,2530,2541,2560,2585,2617,2655,2697,2743,2791,2843,2897,2953,3011,3069,3127,3185,3242
417,Kyrgyzstan,Male,1946,1988,2031,2073,2112,2145,2170,2190,2208,2227,2253,2285,2324,2365,2402,2433,2455,2471,2484,2498,2516,2539,2567,2600,2637,2680,2727,2779,2834,2891,2948,3006,3063,3119,3174
762,Tajikistan,Female,2290,2365,2444,2524,2598,2665,2721,2769,2810,2849,2889,2929,2970,3012,3056,3103,3151,3203,3258,3316,3376,3440,3506,3576,3651,3730,3813,3900,3992,4088,4189,4293,4402,4513,4623
762,Tajikistan,Male,2248,2322,2400,2477,2551,2619,2680,2734,2783,2830,2876,2922,2968,3015,3063,3114,3167,3224,3284,3347,3413,3483,3556,3634,3714,3798,3885,3975,4068,4165,4265,4370,4478,4588,4698
795,Turkmenistan,Female,1655,1695,1736,1779,1825,1874,1926,1981,2037,2089,2136,2176,2211,2241,2268,2293,2318,2342,2365,2390,2416,2444,2475,2508,2545,2585,2628,2676,2725,2775,2825,2874,2923,2970,3016
795,Turkmenistan,Male,1589,1629,1671,1715,1761,1810,1863,1918,1974,2026,2072,2111,2144,2173,2198,2223,2246,2268,2291,2314,2339,2366,2395,2428,2463,2503,2546,2592,2641,2691,2740,2788,2835,2881,2926
860,Uzbekistan,Female,9147,9373,9603,9837,10072,10307,10543,10778,11010,11237,11458,11672,11879,12079,12271,12453,12626,12791,12953,13121,13297,13486,13685,13895,14111,14334,14561,14794,15032,15275,15523,15774,16029,16283,16532
860,Uzbekistan,Male,8914,9142,9373,9607,9846,10091,10342,10597,10852,11099,11333,11553,11761,11957,12142,12317,12483,12640,12796,12957,13130,13318,13519,13732,13954,14182,14416,14655,14900,15151,15407,15667,15931,16194,16450
